Date,PrDec,PrInc
2024-12-24,0.0778,0.09324
2024-12-18,0.08909,0.14135
2024-12-11,0.07816,0.10151
2024-12-04,0.07441,0.09571
2024-11-27,0.076,0.09907
2024-11-20,0.08193,0.10528
2024-11-13,0.07828,0.10427
2024-11-06,0.07532,0.09286
2024-10-30,0.08318,0.11008
2024-10-23,0.0803,0.09896
2024-10-16,0.08413,0.10571
2024-10-09,0.08385,0.1024
2024-10-02,0.09092,0.10573
2024-09-25,0.08223,0.09151
2024-09-18,0.08857,0.10942
2024-09-11,0.09023,0.09746
2024-09-04,0.08882,0.11128
2024-08-28,0.07926,0.09721
2024-08-21,0.08198,0.09758
2024-08-14,0.08979,0.10782
2024-08-07,0.10312,0.15385
2024-07-31,0.07261,0.10882
2024-07-24,0.07833,0.1243
2024-07-17,0.07226,0.11029
2024-07-10,0.06612,0.09349
2024-07-03,0.06442,0.09082
2024-06-26,0.06833,0.10407
2024-06-18,0.06669,0.10104
2024-06-12,0.06492,0.09994
2024-06-05,0.06716,0.0987
2024-05-29,0.06761,0.10391
2024-05-22,0.06821,0.10517
2024-05-15,0.06914,0.10101
2024-05-08,0.06832,0.10483
2024-05-01,0.07611,0.1233
2024-04-24,0.07548,0.11859
2024-04-17,0.08447,0.14179
2024-04-10,0.08029,0.12799
2024-04-03,0.07352,0.1165
2024-03-27,0.0704,0.10889
2024-03-20,0.07311,0.11267
2024-03-13,0.07359,0.11568
2024-03-06,0.07281,0.10885
2024-02-28,0.07193,0.10658
2024-02-21,0.07647,0.10775
2024-02-14,0.07381,0.09914
2024-02-07,0.06604,0.08976
2024-01-31,0.07448,0.10453
2024-01-24,0.06924,0.09391
2024-01-17,0.07781,0.09877
2024-01-10,0.07542,0.09637
2024-01-03,0.08309,0.1136
2023-12-27,0.08047,0.10512
2023-12-20,0.08465,0.11931
2023-12-13,0.07645,0.09778
2023-12-06,0.0816,0.1146
2023-11-29,0.07979,0.11415
2023-11-22,0.07591,0.10894
2023-11-15,0.08031,0.11591
2023-11-08,0.07811,0.11069
2023-11-01,0.08913,0.13619
2023-10-25,0.09823,0.16193
2023-10-18,0.09477,0.15576
2023-10-11,0.08758,0.13545
2023-10-04,0.09624,0.14919
2023-09-27,0.09761,0.15281
2023-09-20,0.08368,0.13227
2023-09-13,0.08082,0.12142
2023-09-07,0.08227,0.12669
2023-09-06,0.08227,0.12669
2023-08-30,0.0812,0.12061
2023-08-23,0.08883,0.13724
2023-08-16,0.09055,0.14822
2023-08-09,0.08171,0.12557
2023-08-02,0.07825,0.11916
2023-07-26,0.06981,0.10026
2023-07-19,0.07206,0.10169
2023-07-12,0.07365,0.10369
2023-07-05,0.07837,0.11148
2023-06-28,0.07917,0.11296
2023-06-21,0.08862,0.12805
2023-06-14,0.08419,0.11996
2023-06-07,0.08871,0.13126
2023-05-31,0.10017,0.14584
2023-05-24,0.10819,0.15189
2023-05-17,0.10783,0.14225
2023-05-10,0.10427,0.14151
2023-05-03,0.10935,0.15553
2023-04-26,0.11296,0.16126
2023-04-19,0.10268,0.1428
2023-04-12,0.11431,0.16044
2023-04-05,0.11721,0.15521
2023-03-29,0.1174,0.16732
2023-03-22,0.12579,0.18833
