Action,Date,Price,Capital
Buy,2019-01-03,2447.89,10000.0
Buy,2019-01-04,2531.94,10000.0
Buy,2019-01-07,2549.69,10000.0
Buy,2019-01-08,2574.41,10016.158827151536
Buy,2019-01-09,2584.96,10026.420447836124
Buy,2019-01-10,2596.64,10040.011597118595
Buy,2019-01-11,2596.26,10039.521835425676
Buy,2019-01-14,2582.61,10028.211103307698
Buy,2019-01-15,2610.3,10041.651051918338
Buy,2019-01-16,2616.1,10045.369754500489
Buy,2019-01-17,2635.96,10060.621544823824
Buy,2019-01-18,2670.71,10090.76465972509
Buy,2019-01-22,2632.9,10055.050204413186
Buy,2019-01-23,2638.7,10059.309860421741
Buy,2019-01-24,2642.33,10062.27522443703
Buy,2019-01-25,2664.76,10082.20558681908
Buy,2019-01-28,2643.85,10062.427171612797
Buy,2019-01-29,2640.0,10059.410376672764
Buy,2019-01-30,2681.05,10085.479745104734
Buy,2019-01-31,2704.1,10101.452396794348
Buy,2019-02-01,2706.53,10103.267901348485
Buy,2019-02-04,2724.87,10117.938288468635
Buy,2019-02-05,2737.7,10128.765589674418
Buy,2019-02-06,2731.61,10123.377648933521
Buy,2019-02-07,2706.05,10103.643138523701
Buy,2019-02-08,2707.88,10104.873027125104
Buy,2019-02-11,2709.8,10106.250868846593
Buy,2019-02-12,2744.73,10132.787778577098
Buy,2019-02-13,2753.03,10139.353774807967
Buy,2019-02-14,2745.73,10133.327657921149
Buy,2019-02-15,2775.6,10155.375164204877
Buy,2019-02-19,2779.76,10158.566585117533
Buy,2019-02-20,2784.7,10162.515703392506
Buy,2019-02-21,2774.88,10154.370880855126
Buy,2019-02-22,2792.67,10167.773938515626
Buy,2019-02-25,2796.11,10170.457786564919
Buy,2019-02-26,2793.9,10168.671438808904
Buy,2019-02-27,2792.38,10167.550049310717
Buy,2019-02-28,2784.49,10162.257885889065
Buy,2019-03-01,2803.69,10173.936586561305
Buy,2019-03-04,2792.81,10167.027414983559
Buy,2019-03-05,2789.65,10165.203648684159
Buy,2019-03-06,2771.45,10155.729510535439
Buy,2019-03-07,2748.93,10145.174304926295
Buy,2019-03-08,2743.07,10142.71670731613
Buy,2019-03-11,2783.3,10157.5920656969
Buy,2019-03-12,2791.52,10160.852794936824
Buy,2019-03-13,2810.92,10169.116141689876
Buy,2019-03-14,2808.48,10168.01273767154
Buy,2019-03-15,2822.48,10173.70204495898
Buy,2019-03-18,2832.94,10178.226445772036
Buy,2019-03-19,2832.57,10178.057019936157
Buy,2019-03-20,2824.23,10174.599233345523
Buy,2019-03-21,2854.88,10186.057912219767
Buy,2019-03-22,2800.71,10164.582841187206
Buy,2019-03-25,2798.36,10163.729958536851
Buy,2019-03-26,2818.46,10170.248156828713
Buy,2019-03-27,2805.37,10165.690441933451
Buy,2019-03-28,2815.44,10168.836148534274
Buy,2019-03-29,2834.4,10175.21987079781
Buy,2019-04-01,2867.19,10186.991161355369
Buy,2019-04-02,2867.24,10187.010091022712
Buy,2019-04-03,2873.4,10189.481073992987
Buy,2019-04-04,2879.39,10192.00981013572
Buy,2019-04-05,2892.74,10197.916587741624
Buy,2019-04-08,2895.77,10199.313439285183
Buy,2019-04-09,2878.2,10190.87470699974
Buy,2019-04-10,2888.21,10195.371145872943
Buy,2019-04-11,2888.32,10195.422538468818
Buy,2019-04-12,2907.41,10204.700239314041
Buy,2019-04-15,2905.58,10203.78265280047
Buy,2019-04-16,2907.06,10204.478085862285
Buy,2019-04-17,2900.45,10201.255490594809
Buy,2019-04-18,2905.03,10203.351795567778
Buy,2019-04-22,2907.97,10204.74722490646
Buy,2019-04-23,2933.68,10217.378361803101
Buy,2019-04-24,2927.25,10214.137079919621
Buy,2019-04-25,2926.17,10213.62319698359
Buy,2019-04-26,2939.88,10219.758317952981
Buy,2019-04-29,2943.03,10221.213722687344
Buy,2019-04-30,2945.83,10222.550836914257
Buy,2019-05-01,2923.73,10211.662621774565
Buy,2019-05-02,2917.52,10208.753046302883
Buy,2019-05-03,2945.64,10221.20063929262
Buy,2019-05-06,2932.47,10215.216228205732
Buy,2019-05-07,2884.05,10194.380477887311
Buy,2019-05-08,2879.42,10192.477469980044
Buy,2019-05-09,2870.72,10189.11469081046
Buy,2019-05-10,2881.4,10192.991520348634
Buy,2019-05-13,2811.87,10166.737009027696
Buy,2019-05-14,2834.41,10174.886683521307
Buy,2019-05-15,2850.96,10181.088902859536
Buy,2019-05-16,2876.32,10190.93274243945
Buy,2019-05-17,2859.53,10184.216385308728
Buy,2019-05-20,2840.23,10176.90394361092
Buy,2019-05-21,2864.36,10185.550028335021
Buy,2019-05-22,2856.27,10182.553391079766
Buy,2019-05-23,2822.24,10170.671891482027
Buy,2019-05-24,2826.06,10171.936148863157
Buy,2019-05-28,2802.39,10163.760750647994
Buy,2019-05-29,2783.02,10157.438117425421
Buy,2019-05-30,2788.86,10159.231934926436
Buy,2019-05-31,2752.06,10147.403580798016
Buy,2019-06-03,2744.45,10145.087981586072
Buy,2019-06-04,2803.27,10161.813599163277
Buy,2019-06-05,2826.15,10168.527763110807
Buy,2019-06-06,2843.49,10173.824990396513
Buy,2019-06-07,2873.34,10183.307356533362
Buy,2019-06-10,2886.73,10187.701342391088
Buy,2019-06-11,2885.72,10187.357978822272
Buy,2019-06-12,2879.84,10185.470891405126
